sample_name,filename,folder_name,file_path,duration,fps,frame_count,resolution,width,height
hip_5 Best Hip  Knee Pain ,5 Best Hip  Knee Pain .mp4,hip,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/hip/5 Best Hip  Knee Pain .mp4,60.0,24.0,1440,640x360,640,360
hip_1 hip knee pain,1 hip knee pain.mp4,hip,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/hip/1 hip knee pain.mp4,30.0,24.0,720,640x360,640,360
hip_Hip Shifting,Hip Shifting.mp4,hip,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/hip/Hip Shifting.mp4,41.56,25.0,1039,1280x720,1280,720
hip_4 Best Hip  Knee Pain ,4 Best Hip  Knee Pain .mp4,hip,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/hip/4 Best Hip  Knee Pain .mp4,60.0,24.0,1440,640x360,640,360
hip_Hip Abduction,Hip Abduction.mp4,hip,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/hip/Hip Abduction.mp4,38.16,25.0,954,1280x720,1280,720
hip_Supine Hip Excercise,Supine Hip Excercise.mp4,hip,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/hip/Supine Hip Excercise.mp4,60.0,30.0,1800,640x360,640,360
hip_2 Best Hip  Knee Pain ,2 Best Hip  Knee Pain .mp4,hip,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/hip/2 Best Hip  Knee Pain .mp4,40.0,24.0,960,640x360,640,360
hip_6 Best Hip  Knee Pain ,6 Best Hip  Knee Pain .mp4,hip,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/hip/6 Best Hip  Knee Pain .mp4,60.0,24.0,1440,640x360,640,360
hip_Kneeling Hip Flexor Stretch,Kneeling Hip Flexor Stretch.mp4,hip,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/hip/Kneeling Hip Flexor Stretch.mp4,19.452786119452785,29.97,583,1920x1080,1920,1080
hip_3 Best Hip  Knee Pain ,3 Best Hip  Knee Pain .mp4,hip,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/hip/3 Best Hip  Knee Pain .mp4,40.0,24.0,960,640x360,640,360
hip_hip excercise with quadriceps strecthes,hip excercise with quadriceps strecthes.mp4,hip,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/hip/hip excercise with quadriceps strecthes.mp4,54.38766666666667,29.97002997002997,1630,640x360,640,360
ankle_Ankle Pumps  ,Ankle Pumps  .mp4,ankle,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/ankle/Ankle Pumps  .mp4,27.027,29.97002997002997,810,1280x720,1280,720
ankle_Ankle Inversion with Band,Ankle Inversion with Band.mp4,ankle,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/ankle/Ankle Inversion with Band.mp4,18.752085418752085,29.97,562,1920x1080,1920,1080
ankle_Ankle Plantarflexion with Band,Ankle Plantarflexion with Band.mp4,ankle,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/ankle/Ankle Plantarflexion with Band.mp4,16.516516516516518,29.97,495,1920x1080,1920,1080
ankle_Ankle Dorsiflexion with Band,Ankle Dorsiflexion with Band.mp4,ankle,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/ankle/Ankle Dorsiflexion with Band.mp4,22.75608942275609,29.97,682,1920x1080,1920,1080
ankle_Ankle Eversion with Band,Ankle Eversion with Band.mp4,ankle,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/ankle/Ankle Eversion with Band.mp4,19.71971971971972,29.97,591,1920x1080,1920,1080
ankle_circular ankle excercises,circular ankle excercises.mp4,ankle,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/ankle/circular ankle excercises.mp4,19.452766666666665,29.97002997002997,583,640x360,640,360
ankle_Extended Knee Ankle Fl-Ex,Extended Knee Ankle Fl-Ex.mp4,ankle,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/ankle/Extended Knee Ankle Fl-Ex.mp4,40.0,30.0,1200,640x360,640,360
ankle_Ankle Pumps Excercise,Ankle Pumps Excercise.mp4,ankle,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/ankle/Ankle Pumps Excercise.mp4,39.97326666666667,29.97002997002997,1198,640x360,640,360
hamstring_Hamstring Stretch with a Strap,Hamstring Stretch with a Strap.mp4,hamstring,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/hamstring/Hamstring Stretch with a Strap.mp4,38.58020833333333,23.976023976023978,925,1280x720,1280,720
hamstring_Hamstring Stretch in Long Sitting,Hamstring Stretch in Long Sitting.mp4,hamstring,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/hamstring/Hamstring Stretch in Long Sitting.mp4,36.82845833333333,23.976023976023978,883,1280x720,1280,720
hamstring_Lower Hamstring Stretch ,Lower Hamstring Stretch .mp4,hamstring,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/hamstring/Lower Hamstring Stretch .mp4,44.76,25.0,1119,640x360,640,360
hamstring_Hamstring Strecthing,Hamstring Strecthing.mp4,hamstring,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/hamstring/Hamstring Strecthing.mp4,93.76,25.0,2344,1280x720,1280,720
hamstring_Hamstring Stretch in BED,Hamstring Stretch in BED.mp4,hamstring,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/hamstring/Hamstring Stretch in BED.mp4,136.66986666666668,29.97002997002997,4096,854x480,854,480
hamstring_Seated Hamstring Stretch,Seated Hamstring Stretch.mp4,hamstring,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/hamstring/Seated Hamstring Stretch.mp4,34.32595833333333,23.976023976023978,823,1280x720,1280,720
hamstring_Upper Hamstring Strecthes,Upper Hamstring Strecthes.mp4,hamstring,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/hamstring/Upper Hamstring Strecthes.mp4,47.96,25.0,1199,1280x720,1280,720
hamstring_HAmstring Stretch BY the the Help of the wall,HAmstring Stretch BY the the Help of the wall.mp4,hamstring,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/hamstring/HAmstring Stretch BY the the Help of the wall.mp4,27.460766666666668,29.97002997002997,823,1280x720,1280,720
knee_Knee Extension Stretch _ Physical Therapy,Knee Extension Stretch _ Physical Therapy.mp4,knee,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/knee/Knee Extension Stretch _ Physical Therapy.mp4,27.093733333333333,29.97002997002997,812,1280x720,1280,720
knee_knee cook variation 1,knee cook variation 1.mp4,knee,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/knee/knee cook variation 1.mp4,19.986633333333334,29.97002997002997,599,640x360,640,360
knee_knee cook variation 2,knee cook variation 2.mp4,knee,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/knee/knee cook variation 2.mp4,50.01663333333333,29.97002997002997,1499,640x360,640,360
knee_knee cook variation,knee cook variation.mp4,knee,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/knee/knee cook variation.mp4,30.03,29.97002997002997,900,640x360,640,360
knee_Small Knee Bends Excercise,Small Knee Bends Excercise.mp4,knee,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/knee/Small Knee Bends Excercise.mp4,48.84,25.0,1221,1280x720,1280,720
knee_Hinged Knee Fl_Ex,Hinged Knee Fl_Ex.mp4,knee,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/knee/Hinged Knee Fl_Ex.mp4,60.0,30.0,1800,640x360,640,360
knee_Quadriceps Sets ,Quadriceps Sets .mp4,knee,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/knee/Quadriceps Sets .mp4,47.78106666666667,29.97002997002997,1432,1280x720,1280,720
knee_Standing Quad Stretch,Standing Quad Stretch.mp4,knee,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/knee/Standing Quad Stretch.mp4,24.090757424090757,29.97,722,1920x1080,1920,1080
knee_quadriceps with knee excercises,quadriceps with knee excercises.mp4,knee,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/knee/quadriceps with knee excercises.mp4,33.86716666666667,29.97002997002997,1015,640x360,640,360
knee_Quadriceps With the Knee Xtension,Quadriceps With the Knee Xtension.mp4,knee,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/knee/Quadriceps With the Knee Xtension.mp4,30.663966666666667,29.97002997002997,919,1280x720,1280,720
knee_Standing Quad Stretch with Towel,Standing Quad Stretch with Towel.mp4,knee,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/knee/Standing Quad Stretch with Towel.mp4,31.53153153153153,29.97,945,1920x1080,1920,1080
knee_Activated Squat,Activated Squat.mp4,knee,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/knee/Activated Squat.mp4,70.0,30.0,2100,640x360,640,360
knee_knee hold,knee hold.mp4,knee,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/knee/knee hold.mp4,21.087733333333333,29.97002997002997,632,640x360,640,360
knee_knee hold rising excercise,knee hold rising excercise.mp4,knee,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/knee/knee hold rising excercise.mp4,36.50313333333333,29.97002997002997,1094,640x360,640,360
knee_knee variation 4,knee variation 4.mp4,knee,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/knee/knee variation 4.mp4,49.983266666666665,29.97002997002997,1498,640x360,640,360
knee_knee variation 3,knee variation 3.mp4,knee,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/knee/knee variation 3.mp4,60.026633333333336,29.97002997002997,1799,640x360,640,360
heel_slide_Heel Slides on Wall,Heel Slides on Wall.mp4,heel_slide,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/heel_slide/Heel Slides on Wall.mp4,30.9642976309643,29.97,928,1920x1080,1920,1080
heel_slide_Heel Slide without Shoe,Heel Slide without Shoe.mp4,heel_slide,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/heel_slide/Heel Slide without Shoe.mp4,49.96,25.0,1249,1280x720,1280,720
heel_slide_Heel Slide with Shoe,Heel Slide with Shoe.mp4.mp4,heel_slide,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/heel_slide/Heel Slide with Shoe.mp4.mp4,41.36,25.0,1034,1280x720,1280,720
heel_slide_Heel_Slides,Heel_Slides.mp4,heel_slide,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/heel_slide/Heel_Slides.mp4,35.36,25.0,884,1280x720,1280,720
heel_slide_Trans-Abdominal-Heel,Trans-Abdominal-Heel.mp4,heel_slide,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/heel_slide/Trans-Abdominal-Heel.mp4,73.55,60.0,4413,1280x720,1280,720
heel_slide_Heel Slides on bed,Heel Slides on bed.mp4,heel_slide,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/heel_slide/Heel Slides on bed.mp4,98.01458333333332,23.976023976023978,2350,1280x720,1280,720
